Model	Lab	"Parameters (B)"	"Announced_"	Month	Year		
GPT-4o mini	OpenAI	8	7/1/24	7	2024		
NeMo	Mistral	12	7/1/24	7	2024		
Codestral Mamba	Mistral	7	7/1/24	7	2024		
Mathstral	Mistral	7	7/1/24	7	2024		
SpreadsheetLLM	Microsoft	1760	7/1/24	7	2024		
next-gen	DeepL		7/1/24	7	2024		
SmolLM	Hugging Face	1.7	7/1/24	7	2024		
Mockingbird	Vectara	9	7/1/24	7	2024		
FLAMe	Google DeepMind	24	7/1/24	7	2024		
H2O-Danube3-4B	H2O.ai	4	7/1/24	7	2024		
Causal Axioms	Microsoft	0.067	7/1/24	7	2024		
SenseNova 5.5	SenseTime	600	7/1/24	7	2024		
Helium 7B	Kyutai	7	7/1/24	7	2024		
InternLM2.5	Shanghai AI Laboratory/SenseTime	7	7/1/24	7	2024		
Llama 3 405B	Meta AI	405	6/1/24	6	2024		
ERNIE 4.0 Turbo	Baidu		6/1/24	6	2024		
Gemma 2	Google DeepMind	27	6/1/24	6	2024		
CriticGPT	OpenAI		6/1/24	6	2024		
4M-21	Apple	3	6/1/24	6	2024		
ESM3	EvolutionaryScale	98	6/1/24	6	2024		
PanGu 5.0 Super	Huawei	1000	6/1/24	6	2024		
Claude 3.5 Sonnet	Anthropic		6/1/24	6	2024		
DeepSeek-Coder-V2	DeepSeek-AI	236	6/1/24	6	2024		
DCLM-Baseline 7B 2.6T	International	7	6/1/24	6	2024		
Nemotron-4-340B	NVIDIA	340	6/1/24	6	2024		
Apple On-Device model Jun/2024	Apple	3.04	6/1/24	6	2024		
MatMul-Free LM	UCSC	2.7	6/1/24	6	2024		
Luna	Galileo	0.44	6/1/24	6	2024		
Qwen2	Alibaba	72	6/1/24	6	2024		
Qwen2-57B-A14B	Alibaba	57	6/1/24	6	2024		
Skywork MoE 16x13B	Kunlun Tech	146	6/1/24	6	2024		
Mamba-2	CMU	2.7	5/1/24	5	2024		
MAP-Neo	International	7	5/1/24	5	2024		
K2	LLM360	65	5/1/24	5	2024		
Codestral	Mistral	22	5/1/24	5	2024		
Aya-23-35B	Cohere	35	5/1/24	5	2024		
Yi-XLarge	01-ai	2000	5/1/24	5	2024		
Yi-Large	01-ai	1000	5/1/24	5	2024		
Chameleon	Meta AI	34	5/1/24	5	2024		
Sparse Llama 7B	Cerebras	7	5/1/24	5	2024		
Gemini 1.5 Flash	Google DeepMind		5/1/24	5	2024		
GPT-4o	OpenAI		5/1/24	5	2024		
Falcon 2 11B	TII	11	5/1/24	5	2024		
Fugaku-LLM	Fujitsu	13	5/1/24	5	2024		
Yi 1.5 34B	01-ai	34.4	5/1/24	5	2024		
YOCO	Microsoft	3	5/1/24	5	2024		
DeepSeek-V2	DeepSeek-AI	236	5/1/24	5	2024		
ChuXin	Independent	1.6	5/1/24	5	2024		
RWKV-v6 Finch	RWKV	7.63	5/1/24	5	2024		
xLSTM	ELLIS	2.7	5/1/24	5	2024		
Granite Code	IBM	34	5/1/24	5	2024		
Qwen-Max	Alibaba	300	5/1/24	5	2024		
Med-Gemini-L 1.0	Google DeepMind	1500	5/1/24	5	2024		
Tele-FLM	BAAI	52	4/1/24	4	2024		
Qwen-1.5 110B	Alibaba	111	4/1/24	4	2024		
Arctic	Snowflake AI Research	480	4/1/24	4	2024		
