Model	"Parameters(B)"	Month	Year		
GPT-4o mini	8	7	2024		
NeMo	12	7	2024		
Codestral Mamba	7	7	2024		
Mathstral	7	7	2024		
SpreadsheetLLM	1760	7	2024		
next-gen		7	2024		
SmolLM	1.7	7	2024		
Mockingbird	9	7	2024		
FLAMe	24	7	2024		
H2O-Danube3-4B	4	7	2024		
Causal Axioms	0.067	7	2024		
SenseNova 5.5	600	7	2024		
Helium 7B	7	7	2024		
InternLM2.5	7	7	2024		
Llama 3 405B	405	6	2024		
ERNIE 4.0 Turbo		6	2024		
Gemma 2	27	6	2024		
CriticGPT		6	2024		
4M-21	3	6	2024		
ESM3	98	6	2024		
PanGu 5.0 Super	1000	6	2024		
Claude 3.5 Sonnet		6	2024		
DeepSeek-Coder-V2	236	6	2024		
DCLM-Baseline 7B 2.6T	7	6	2024		
Nemotron-4-340B	340	6	2024		
Apple On-Device model Jun/2024	3.04	6	2024		
MatMul-Free LM	2.7	6	2024		
Luna	0.44	6	2024		
Qwen2	72	6	2024		
Qwen2-57B-A14B	57	6	2024		
Skywork MoE 16x13B	146	6	2024		
Mamba-2	2.7	5	2024		
MAP-Neo	7	5	2024		
K2	65	5	2024		
Codestral	22	5	2024		
Aya-23-35B	35	5	2024		
Yi-XLarge	2000	5	2024		
Yi-Large	1000	5	2024		
Chameleon	34	5	2024		
Sparse Llama 7B	7	5	2024		
Gemini 1.5 Flash		5	2024		
GPT-4o		5	2024		
Falcon 2 11B	11	5	2024		
Fugaku-LLM	13	5	2024		
Yi 1.5 34B	34.4	5	2024		
YOCO	3	5	2024		
DeepSeek-V2	236	5	2024		
ChuXin	1.6	5	2024		
RWKV-v6 Finch	7.63	5	2024		
xLSTM	2.7	5	2024		
Granite Code	34	5	2024		
Qwen-Max	300	5	2024		
Med-Gemini-L 1.0	1500	5	2024		
Tele-FLM	52	4	2024		
Qwen-1.5 110B	111	4	2024		
Arctic	480	4	2024		
SenseNova 5.0	600	4	2024		
OpenELM	3.04	4	2024		
phi-3-medium	14	4	2024		
phi-3-mini	3.8	4	2024		
Llama 3 70B	70	4	2024		
HLAT	7	4	2024		
Idefics2	8.4	4	2024		
Reka Core	300	4	2024		
WizardLM-2-8x22B	141	4	2024		
Pile-T5	11	4	2024		
Zephyr 141B-A35B	35	4	2024		
Rerank 3	104	4	2024		
gpt-4-turbo-2024-04-09		4	2024		
MiniCPM-2.4B	2.4	4	2024		
Ferret-UI	13	4	2024		
mixtral-8x22b	141	4	2024		
Sailor	7	4	2024		
JetMoE-8B	8	4	2024		
Eurus	70	4	2024		
Command-R+	104	4	2024		
Viking	33	4	2024		
OLMo-Bitnet-1B	1	4	2024		
Aurora-M	15.5	3	2024		
ReALM-3B	3	3	2024		
Qwen1.5-MoE-A2.7B	14.3	3	2024		
Grok-1.5	314	3	2024		
Jamba	52	3	2024		
DBRX	132	3	2024		
Stable Code Instruct 3B	2.7	3	2024		
EvoLLM-JP	10	3	2024		
RakutenAI-7B	7	3	2024		
Parakeet	0.378	3	2024		
RWKV-v5 EagleX	7.52	3	2024		
MM1	30	3	2024		
RFM-1	8	3	2024		
Command-R	35	3	2024		
DeepSeek-VL	7	3	2024		
AnyGPT	7	3	2024		
Stable Beluga 2.5	70	3	2024		
Inflection-2.5	1200	3	2024		
Apollo	7	3	2024		
Claude 3 Opus	2000	3	2024		
Nemotron-4 15B	15	2	2024		
TowerLLM	7	2	2024		
Hawk	7	2	2024		
Griffin	14	2	2024		
BitNet b1.58	70	2	2024		
Samba-1	1400	2	2024		
Aya-101	13	2	2024		
Cosmo-1B	1.8	2	2024		
Poro	34.2	2	2024		
StarCoder 2	15	2	2024		
530B	530	2	2024		
175B	175	2	2024		
Mistral Small	7	2	2024		
Mistral Large	300	2	2024		
Hanooman	40	2	2024		
Ask	20	2	2024		
Reka Edge	7	2	2024		
Reka Flash	21	2	2024		
Gemma	7	2	2024		
Gemini 1.5 Pro	1500	2	2024		
Qwen-1.5 72B	72	2	2024		
GOODY-2		2	2024		
Natural-SQL-7B	7	2	2024		
Sea-Lion	7.5	2	2024		
TimesFM	0.2	2	2024		
OLMo	7	2	2024		
FLOR-6.3B	6.3	1	2024		
Weaver	34	1	2024		
miqu 70b	70	1	2024		
iFlytekSpark-13B	13	1	2024		
Xinghuo 3.5 (Spark)	200	1	2024		
MGIE	7	1	2024		
CodeLlama-70B	70	1	2024		
RWKV-v5 Eagle 7B	7.52	1	2024		
MaLA-500	10	1	2024		
