#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"
5000	-6640222.533997736	300.6329533459834
10000	-6637458.030830791	299.71493165274785
15000	-6638865.488922847	300.97109322329
20000	-6639567.729553571	300.8328543042228
25000	-6636077.423701603	300.7552577353963
30000	-6634837.560559509	300.8371837780064
35000	-6635986.366803817	300.1535907763703
40000	-6639923.779837127	299.26625170855874
45000	-6635066.397603852	299.71991024799945
50000	-6638590.593546002	299.9403075891018
55000	-6637221.304158966	300.6559675740742
60000	-6639058.003067906	300.84026836704453
