#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"
5000	-215045.3555104773	309.30683714844616
10000	-215259.6175230514	311.14612179646616
15000	-216467.7573545476	312.092450504872
20000	-218507.31991413014	307.0325690183363
25000	-219222.13957985272	310.77682179359323
30000	-219184.65354584876	314.1346014679125
35000	-220313.41633831235	309.2339686493158
40000	-219265.46281735972	311.6087800401903
45000	-220286.96238885197	311.84332338884656
50000	-220996.5404357374	311.8334800003433
55000	-219449.4767291299	311.18718610023734
60000	-220416.98942210048	311.7253155906291
65000	-219880.02897829746	311.23876409285606
70000	-221232.59259896062	311.0161557223925
75000	-220451.76786017185	308.25316382793704
80000	-220227.67333045028	310.3000490322394
85000	-220352.19254976124	307.77940522854885
90000	-221727.79765691224	308.89906118197916
95000	-220746.6759346807	309.4223753478335
100000	-221856.22040519025	311.0226152596891
105000	-221377.2974242654	311.0829607301855
