#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"
5000	-252341.6783598245	301.25121906031166
10000	-252164.2641728794	298.628579931944
15000	-252742.87845404245	296.98242343922453
20000	-253330.6028027527	300.63421797754444
25000	-252370.92230718117	303.04074625357606
30000	-253320.8424929318	301.6862358442161
35000	-252975.05122152227	300.02005221574984
40000	-252470.57225637423	298.84508542543284
45000	-252870.21451980824	298.27525045029864
50000	-253413.8391587148	300.6062155449776
55000	-253384.0497691281	300.8178384896702
60000	-252960.58474863635	303.7882688199937
65000	-252289.70218964363	297.41978156693165
70000	-252404.68576674422	298.54951773302673
75000	-251939.15516542172	296.6216527463565
80000	-252582.17247932858	299.29278786452164
85000	-252643.81583578876	301.4623225328123
90000	-253096.04689215156	305.8928139360918
95000	-252160.14394074434	298.0785057651068
100000	-252697.07757414118	303.87954990042493
