Model	Lab "Parameters(B)"	"Announced"				
GPT-4o mini	OpenAI	8	Jul/2024				
NeMo	Mistral	12	Jul/2024				
Codestral Mamba	Mistral	7	Jul/2024				
Mathstral	Mistral	7	Jul/2024				
SpreadsheetLLM	Microsoft	1760	Jul/2024				
next-gen	DeepL		Jul/2024				
SmolLM	Hugging Face	1.7	Jul/2024				
Mockingbird	Vectara	9	Jul/2024				
FLAMe	Google DeepMind	24	Jul/2024				
H2O-Danube3-4B	H2O.ai	4	Jul/2024				
Causal Axioms	Microsoft	0.067	Jul/2024				
SenseNova 5.5	SenseTime	600	Jul/2024				
Helium 7B	Kyutai	7	Jul/2024				
InternLM2.5	Shanghai AI Laboratory/SenseTime	7	Jul/2024				
Llama 3 405B	Meta AI	405	Jun/2024				
ERNIE 4.0 Turbo	Baidu		Jun/2024				
Gemma 2	Google DeepMind	27	Jun/2024				
CriticGPT	OpenAI		Jun/2024				
4M-21	Apple	3	Jun/2024				
ESM3	EvolutionaryScale	98	Jun/2024				
PanGu 5.0 Super	Huawei	1000	Jun/2024				
Claude 3.5 Sonnet	Anthropic		Jun/2024				
DeepSeek-Coder-V2	DeepSeek-AI	236	Jun/2024				
DCLM-Baseline 7B 2.6T	International	7	Jun/2024				
Nemotron-4-340B	NVIDIA	340	Jun/2024				
Apple On-Device model Jun/2024	Apple	3.04	Jun/2024				
MatMul-Free LM	UCSC	2.7	Jun/2024				
Luna	Galileo	0.44	Jun/2024				
Qwen2	Alibaba	72	Jun/2024				
Qwen2-57B-A14B	Alibaba	57	Jun/2024				
Skywork MoE 16x13B	Kunlun Tech	146	Jun/2024				
Mamba-2	CMU	2.7	May/2024				
MAP-Neo	International	7	May/2024				
K2	LLM360	65	May/2024				
Codestral	Mistral	22	May/2024				
Aya-23-35B	Cohere	35	May/2024				
Yi-XLarge	01-ai	2000	May/2024				
Yi-Large	01-ai	1000	May/2024				
Chameleon	Meta AI	34	May/2024				
Sparse Llama 7B	Cerebras	7	May/2024				
Gemini 1.5 Flash	Google DeepMind		May/2024				
GPT-4o	OpenAI		May/2024				
Falcon 2 11B	TII	11	May/2024				
Fugaku-LLM	Fujitsu	13	May/2024				
Yi 1.5 34B	01-ai	34.4	May/2024				
YOCO	Microsoft	3	May/2024				
DeepSeek-V2	DeepSeek-AI	236	May/2024				
ChuXin	Independent	1.6	May/2024				
RWKV-v6 Finch	RWKV	7.63	May/2024				
xLSTM	ELLIS	2.7	May/2024				
Granite Code	IBM	34	May/2024				
Qwen-Max	Alibaba	300	May/2024				
Med-Gemini-L 1.0	Google DeepMind	1500	May/2024				
Tele-FLM	BAAI	52	Apr/2024				
Qwen-1.5 110B	Alibaba	111	Apr/2024				
Arctic	Snowflake AI Research	480	Apr/2024				
SenseNova 5.0	SenseTime	600	Apr/2024				
OpenELM	Apple	3.04	Apr/2024				
phi-3-medium	Microsoft	14	Apr/2024				
phi-3-mini	Microsoft	3.8	Apr/2024				
Llama 3 70B	Meta AI	70	Apr/2024				
HLAT	Amazon	7	Apr/2024				
Idefics2	Hugging Face	8.4	Apr/2024				
Reka Core	Reka AI	300	Apr/2024				
WizardLM-2-8x22B	Microsoft	141	Apr/2024				
Pile-T5	EleutherAI	11	Apr/2024				
Zephyr 141B-A35B	Hugging Face H4	35	Apr/2024				
